%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
164957665291,4889,164957665291,map,0.0524064153433,0.0745335146785,0.0650246962905,0.00643297836143,-0.00115826240398,0.0179034333384,-0.999818372115
164989665291,4890,164989665291,map,0.0521980933845,0.0747659802437,0.0657001584768,0.00645976482393,-0.00114655200091,0.0178972377517,-0.999818329969
165017673244,4891,165017673244,map,0.0519912280142,0.0750058144331,0.066075079143,0.00643469864432,-0.00116465209671,0.0179247174969,-0.999817992794
165057673244,4892,165057673244,map,0.051926381886,0.0751232653856,0.06671153754,0.00646213854761,-0.00114975878339,0.017946380977,-0.999817487032
165089673244,4893,165089673244,map,0.0520229265094,0.0750847682357,0.0671425834298,0.006457753629,-0.00114089971339,0.0179649677372,-0.99981710771
165117681193,4894,165117681193,map,0.0514289550483,0.0757018104196,0.067296013236,0.00644912570813,-0.00112345454011,0.0179749143935,-0.999817023416
165157681193,4895,165157681193,map,0.0508839972317,0.0762840211391,0.0673044621944,0.00648340624249,-0.00109811572307,0.0179728491979,-0.999816896976
165189681193,4896,165189681193,map,0.0506354756653,0.0765337496996,0.0677046105266,0.00650554782594,-0.00109081444011,0.0179467602987,-0.999817192004
165217689139,4897,165217689139,map,0.0503951087594,0.0767745524645,0.0679519847035,0.00650441496475,-0.00106855250766,0.01795556899,-0.999817065563
165257689139,4898,165257689139,map,0.050275593996,0.0768906325102,0.0684937462211,0.00653094064362,-0.00109727081047,0.017947771823,-0.999817023416
165289689139,4899,165289689139,map,0.0503276363015,0.076837554574,0.06882006675,0.00653423007344,-0.00107882893007,0.0179521129484,-0.999816981269
165317685083,4900,165317685083,map,0.0497119240463,0.0772859305143,0.0683894604445,0.0065281615858,-0.00109911210091,0.0179566648081,-0.999816896976
165357685083,4901,165357685083,map,0.0491251572967,0.0776270776987,0.0680897906423,0.00657193240507,-0.00110536959083,0.017972807051,-0.999816264773
165389685083,4902,165389685083,map,0.0488318055868,0.0777307227254,0.0680074542761,0.0065537969125,-0.00112470297586,0.0179536723818,-0.999816686242
165417693023,4903,165417693023,map,0.0485555231571,0.0778300538659,0.0675897151232,0.00658224850479,-0.00113180817719,0.0179457066275,-0.999816728388
165457693023,4904,165457693023,map,0.0483712814748,0.0777884349227,0.0668260082603,0.00657570553583,-0.00113245058736,0.0179409018867,-0.999816812682
165489693023,4905,165489693023,map,0.0483512356877,0.0776159614325,0.0666350275278,0.00657812469908,-0.00112160007877,0.0179403118308,-0.999816812682
165517700961,4906,165517700961,map,0.0479131639004,0.0777231901884,0.0660958364606,0.00659394458452,-0.00110187370731,0.0179291850628,-0.999816981269
